timestamp,src_ip,dest_ip,flow_id,bytes_toclient,bytes_toserver,flow_age,pkts_toclient,pkts_toserver,prediction
2025-06-28T19:52:59.143505+0700,192.168.100.6,192.168.100.4,1954321345680790,53809,972,0,53809,11,SLOWREAD
2025-06-28T19:53:33.197609+0700,192.168.100.6,192.168.100.4,1129545888760297,74862,996,0,74862,11,SLOWREAD
2025-06-28T19:54:08.527909+0700,192.168.100.6,192.168.100.4,2135431527222077,75536,1062,0,75536,12,SLOWREAD
2025-06-28T19:54:09.089528+0700,192.168.100.6,192.168.100.4,1348619287058202,74599,984,0,74599,11,SLOWREAD
2025-06-28T19:54:15.765172+0700,192.168.100.6,192.168.100.4,1742038290020343,668,1661,0,668,11,SLOWREAD
2025-06-28T19:54:18.540674+0700,192.168.100.6,192.168.100.4,1997099218764308,74604,1062,0,74604,12,BENIGN
2025-06-28T19:54:20.770934+0700,192.168.100.6,192.168.100.4,1314899497841794,74928,1128,0,74928,13,SLOWREAD
2025-06-28T19:54:23.210881+0700,192.168.100.6,192.168.100.4,1440553061810073,45201,840,0,45201,9,SLOWREAD
2025-06-28T19:54:28.571711+0700,192.168.100.6,192.168.100.4,173043787287120,74594,1182,0,74594,14,BENIGN
2025-06-28T19:54:38.585837+0700,192.168.100.6,192.168.100.4,323341873206546,74593,1116,0,74593,13,BENIGN
2025-06-28T19:54:45.215586+0700,192.168.100.6,192.168.100.4,1731335231706499,668,1627,0,668,11,SLOWREAD
2025-06-28T19:54:47.250714+0700,192.168.100.6,192.168.100.4,1735810590713009,75535,996,0,75535,11,SLOWREAD
2025-06-28T19:54:51.291682+0700,192.168.100.6,192.168.100.4,331287568832831,75590,1128,0,75590,13,SLOWREAD
2025-06-28T19:54:54.410725+0700,192.168.100.6,192.168.100.4,2049987449444127,74957,1062,0,74957,12,BENIGN
2025-06-28T19:54:54.570415+0700,192.168.100.6,192.168.100.4,751717618155450,74862,996,0,74862,11,SLOWREAD
2025-06-28T19:54:57.235515+0700,192.168.100.6,192.168.100.4,2164023127463964,68989,1296,0,68989,16,SLOWREAD
2025-06-28T19:55:22.650793+0700,192.168.100.6,192.168.100.4,2178557295511286,668,1594,0,668,11,SLOWREAD
2025-06-28T19:55:23.315611+0700,192.168.100.6,192.168.100.4,68130622532492,64688,1242,0,64688,15,SLOWREAD
2025-06-28T19:55:25.285126+0700,192.168.100.6,192.168.100.4,773132329990496,74928,1128,0,74928,13,SLOWREAD
2025-06-28T19:55:32.683110+0700,192.168.100.6,192.168.100.4,214481639178831,17453,714,0,17453,7,SLOWREAD
2025-06-28T19:55:49.345554+0700,192.168.100.6,192.168.100.4,502386179033381,73276,1242,0,73276,15,SLOWREAD
2025-06-28T19:55:51.328402+0700,192.168.100.6,192.168.100.4,366025261544166,74670,1326,0,74670,16,BENIGN
2025-06-28T19:56:03.355723+0700,192.168.100.6,192.168.100.4,88278313299699,74928,1194,0,74928,14,SLOWREAD
2025-06-28T19:56:07.352814+0700,192.168.100.6,192.168.100.4,516499439979178,74504,1110,0,74504,13,BENIGN
2025-06-28T19:56:08.707825+0700,192.168.100.6,192.168.100.4,2061682643005985,74928,1260,0,74928,15,BENIGN
2025-06-28T19:56:13.336557+0700,192.168.100.6,192.168.100.4,1782883435031445,75075,1194,0,75075,14,SLOWREAD
2025-06-28T19:56:16.719172+0700,192.168.100.6,192.168.100.4,1221810382747504,74461,1110,0,74461,13,SLOWREAD
2025-06-28T19:56:18.700804+0700,192.168.100.6,192.168.100.4,1507795069221756,668,1573,0,668,11,SLOWREAD
2025-06-28T19:56:19.316553+0700,192.168.100.6,192.168.100.4,1367796325623646,74862,1062,0,74862,12,BENIGN
2025-06-28T19:56:19.405827+0700,192.168.100.6,192.168.100.4,1649262712050199,74594,1248,0,74594,15,BENIGN
2025-06-28T19:56:21.342993+0700,192.168.100.6,192.168.100.4,1224675124764468,68990,1104,0,68990,13,SLOWREAD
2025-06-28T19:56:22.727571+0700,192.168.100.6,192.168.100.4,1650744465860239,668,1529,0,668,11,SLOWREAD
2025-06-28T19:56:23.353871+0700,192.168.100.6,192.168.100.4,803643772928821,74593,1116,0,74593,13,BENIGN
2025-06-28T19:56:23.354134+0700,192.168.100.6,192.168.100.4,2210791026194509,74593,1110,0,74593,13,BENIGN
2025-06-28T19:56:27.356709+0700,192.168.100.6,192.168.100.4,1794415429323039,25519,768,0,25519,8,SLOWREAD
2025-06-28T19:56:35.324145+0700,192.168.100.6,192.168.100.4,106785339573201,8865,648,0,8865,6,SLOWREAD
2025-06-28T19:56:36.708062+0700,192.168.100.6,192.168.100.4,1377558785745644,74862,1128,0,74862,13,SLOWREAD
2025-06-28T19:56:37.355352+0700,192.168.100.6,192.168.100.4,248884320002901,668,1292,0,668,11,SLOWREAD
2025-06-28T19:56:38.732285+0700,192.168.100.6,192.168.100.4,2223139061279288,74926,1194,0,74926,14,SLOWREAD
2025-06-28T19:56:39.427903+0700,192.168.100.6,192.168.100.4,1660751740710104,74926,1260,0,74926,15,BENIGN
2025-06-28T19:56:46.759969+0700,192.168.100.6,192.168.100.4,1524627051772531,42185,972,0,42185,11,SLOWREAD
2025-06-28T19:56:47.362101+0700,192.168.100.6,192.168.100.4,539481821189226,8931,708,0,8931,7,SLOWREAD
2025-06-28T19:56:52.028746+0700,192.168.100.6,192.168.100.4,964846787717775,74593,1380,0,74593,17,BENIGN
2025-06-28T19:56:54.071600+0700,192.168.100.6,192.168.100.4,1243834983287288,27033,768,0,27033,8,SLOWREAD
2025-06-28T19:56:57.419722+0700,192.168.100.6,192.168.100.4,1527272754770544,74928,1062,0,74928,12,BENIGN
2025-06-28T19:56:59.400524+0700,192.168.100.6,192.168.100.4,1528513994363364,74534,984,0,74534,11,SLOWREAD
2025-06-28T19:57:00.114986+0700,192.168.100.6,192.168.100.4,265613222091322,74468,1050,0,74468,12,SLOWREAD
2025-06-28T19:57:01.422400+0700,192.168.100.6,192.168.100.4,1110721056146571,74926,1194,0,74926,14,SLOWREAD
2025-06-28T19:57:06.052279+0700,192.168.100.6,192.168.100.4,128977429505969,74593,1182,0,74593,14,BENIGN
2025-06-28T19:57:11.460530+0700,192.168.100.6,192.168.100.4,131683264591791,8865,648,0,8865,6,SLOWREAD
2025-06-28T19:57:12.088230+0700,192.168.100.6,192.168.100.4,691416275140449,668,1469,0,668,11,SLOWREAD
2025-06-28T19:57:18.048206+0700,192.168.100.6,192.168.100.4,1120766975799746,668,1551,0,668,11,SLOWREAD
2025-06-28T19:57:19.460721+0700,192.168.100.6,192.168.100.4,2247512996950457,74862,1128,0,74862,13,SLOWREAD
2025-06-28T19:57:20.119101+0700,192.168.100.6,192.168.100.4,978079583718873,74862,1062,0,74862,12,BENIGN
2025-06-28T19:57:22.130855+0700,192.168.100.6,192.168.100.4,1682883715605454,74928,1194,0,74928,14,SLOWREAD
2025-06-28T19:57:24.109705+0700,192.168.100.6,192.168.100.4,1124649634526622,74593,1116,0,74593,13,BENIGN
2025-06-28T19:57:34.089823+0700,192.168.100.6,192.168.100.4,989598682464350,74862,996,0,74862,11,SLOWREAD
2025-06-28T19:57:38.145753+0700,192.168.100.6,192.168.100.4,1129262432186792,74862,996,0,74862,11,SLOWREAD
2025-06-28T19:57:40.173702+0700,192.168.100.6,192.168.100.4,2115369735194770,74862,1128,0,74862,13,SLOWREAD
2025-06-28T19:57:41.413254+0700,192.168.100.6,192.168.100.4,1837992158448944,74645,1128,0,74645,13,BENIGN
2025-06-28T19:57:43.482195+0700,192.168.100.6,192.168.100.4,2117117801807762,75814,1142,0,75814,11,SLOWREAD
2025-06-28T19:57:44.097722+0700,192.168.100.6,192.168.100.4,991870724537002,74862,1062,0,74862,12,BENIGN
2025-06-28T19:57:50.123800+0700,192.168.100.6,192.168.100.4,1139617598491807,74862,996,0,74862,11,SLOWREAD
2025-06-28T19:57:50.126042+0700,192.168.100.6,192.168.100.4,1702631969280254,668,1635,0,668,11,SLOWREAD
2025-06-28T19:57:53.516040+0700,192.168.100.6,192.168.100.4,434074723195380,74862,1260,0,74862,15,BENIGN
