alert_action,alert_category,alert_severity,alert_signature,alert_signature_id,app_proto,bytes_toclient,bytes_toserver,dest_ip,dest_port,event_type,flow_age,flow_alerted,flow_end,flow_id,flow_reason,flow_start,flow_state,flowbits,http_content_type,http_host,http_length,http_method,http_status,http_url,http_user_agent,in_iface,pkts_toclient,pkts_toserver,proto,src_ip,src_port,tcp_ack,tcp_fin,tcp_flags,tcp_flags_tc,tcp_flags_ts,tcp_psh,tcp_state,tcp_syn,timestamp
,,,,,dhcp,5310,2934,192.168.100.3,67,flow,2400,False,2025-06-27T13:07:12.981031+0700,1966496606640898,shutdown,2025-06-27T12:27:12.973570+0700,established,,,,,,,,,enp0s3,9,9,UDP,192.168.100.4,68,,,,,,,,,2025-06-27T13:09:08.488392+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74862,1056,192.168.100.4,80,flow,0,True,2025-06-27T13:10:02.878119+0700,226828861713482,timeout,2025-06-27T13:10:02.535626+0700,closed,slowread_detected,text/html,192.168.100.4,70571,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,54,11,TCP,192.168.100.6,44972,True,,1e,1a,1e,True,closed,True,2025-06-27T13:11:44.554789+0700
allowed,Web Application Attack,1,Posible Slowloris Attack,900000501,http,74928,1254,192.168.100.4,80,flow,1,True,2025-06-27T13:10:06.196732+0700,787206129919006,timeout,2025-06-27T13:10:05.861214+0700,closed,slowread_detected,text/html,192.168.100.4,70571,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,55,14,TCP,192.168.100.6,45148,True,,1e,1a,1e,True,closed,True,2025-06-27T13:11:42.585262+0700
allowed,Web Application Attack,1,Posible Slowloris Attack,900000501,,668,1417,192.168.100.4,80,flow,60,True,2025-06-27T13:11:06.758072+0700,705533031920458,timeout,2025-06-27T13:10:06.701258+0700,closed,,,,,,,,,enp0s3,10,11,TCP,192.168.100.6,45214,True,True,1b,13,1b,True,closed,True,2025-06-27T13:13:23.386751+0700
allowed,Web Application Attack,1,Posible Slowloris Attack,900000501,,668,1632,192.168.100.4,80,flow,60,True,2025-06-27T13:11:06.927047+0700,911556170629926,timeout,2025-06-27T13:10:06.869158+0700,closed,,,,,,,,,enp0s3,10,11,TCP,192.168.100.6,45226,True,True,1b,13,1b,True,closed,True,2025-06-27T13:15:12.038460+0700
allowed,Web Application Attack,1,Posible Slowloris Attack,900000501,,668,1560,192.168.100.4,80,flow,60,True,2025-06-27T13:11:07.783007+0700,1396241082599980,timeout,2025-06-27T13:10:07.707116+0700,closed,,,,,,,,,enp0s3,10,11,TCP,192.168.100.6,45272,True,True,1b,13,1b,True,closed,True,2025-06-27T13:12:59.246604+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74593,1308,192.168.100.4,80,flow,1,True,2025-06-27T13:10:09.048957+0700,874209282680570,timeout,2025-06-27T13:10:08.714490+0700,closed,slowread_detected,text/html,192.168.100.4,70570,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,54,15,TCP,192.168.100.6,45326,True,,1e,1a,1e,True,closed,True,2025-06-27T13:14:10.067469+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,75524,1122,192.168.100.4,80,flow,1,True,2025-06-27T13:10:12.099731+0700,610126776213168,timeout,2025-06-27T13:10:11.761520+0700,closed,slowread_detected,text/html,192.168.100.4,70571,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,53,12,TCP,192.168.100.6,58726,True,,1e,1a,1e,True,closed,True,2025-06-27T13:14:38.672380+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74641,1188,192.168.100.4,80,flow,1,True,2025-06-27T13:10:15.141949+0700,591400718979279,timeout,2025-06-27T13:10:14.807119+0700,closed,slowread_detected,text/html,192.168.100.4,70547,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,55,13,TCP,192.168.100.6,58866,True,,1e,1a,1e,True,closed,True,2025-06-27T13:14:08.052468+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74928,1188,192.168.100.4,80,flow,1,True,2025-06-27T13:10:18.177529+0700,1194762019917743,timeout,2025-06-27T13:10:17.839599+0700,closed,slowread_detected,text/html,192.168.100.4,70571,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,55,13,TCP,192.168.100.6,59018,True,,1e,1a,1e,True,closed,True,2025-06-27T13:15:15.353703+0700
