alert_severity,alert_signature,alert_signature_id,app_proto,bytes_toclient,bytes_toserver,dest_ip,dest_port,event_type,flow_age,flow_id,flow_state,http_host,http_length,http_method,http_status,http_url,http_user_agent,pkts_toclient,pkts_toserver,proto,src_ip,src_port,timestamp
,,,http,2149,638,192.168.100.4,80,flow,5,2135649072301387,closed,,,,,,,5,6,TCP,192.168.100.5,48808,2025-06-02T18:38:59.120616+0700
,,,http,2149,626,192.168.100.4,80,flow,4,688425481275914,closed,,,,,,,5,6,TCP,192.168.100.5,36378,2025-06-02T18:39:01.143572+0700
,,,,,,,,stats,,None,,,,,,,,,,,,,2025-06-02T20:15:54.017786+0700
,,,http,2149,644,192.168.100.4,80,flow,5,448362591228404,closed,,,,,,,5,6,TCP,192.168.100.5,51876,2025-06-02T18:39:02.480432+0700
3,HTTP GET Request Detected,1000002,http,2149,645,192.168.100.4,80,flow,4,821303197670218,closed,192.168.100.4,1550,GET,200,/?id=869&q=services,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,6,TCP,192.168.100.5,47442,2025-06-02T18:41:38.620179+0700
3,HTTP GET Request Detected,1000002,http,2149,644,192.168.100.4,80,flow,4,1168809001831086,closed,192.168.100.4,1550,GET,200,/?id=131&q=contact,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,6,TCP,192.168.100.5,47448,2025-06-02T18:40:40.543664+0700
,,,http,2149,628,192.168.100.4,80,flow,5,412564036127081,closed,,,,,,,5,6,TCP,192.168.100.5,39182,2025-06-02T18:39:10.483169+0700
,,,http,2149,639,192.168.100.4,80,flow,5,132313128128547,closed,,,,,,,5,6,TCP,192.168.100.5,36312,2025-06-02T18:39:12.484590+0700
,,,http,2149,641,192.168.100.4,80,flow,5,2002414903597096,closed,,,,,,,5,6,TCP,192.168.100.5,36320,2025-06-02T18:39:12.487169+0700
3,HTTP GET Request Detected,1000002,http,2149,645,192.168.100.4,80,flow,5,915195478269982,closed,192.168.100.4,1550,GET,200,/?id=377&q=services,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,6,TCP,192.168.100.5,44478,2025-06-02T18:44:18.174216+0700
,,,http,2149,638,192.168.100.4,80,flow,6,1118596520371417,closed,,,,,,,5,6,TCP,192.168.100.5,36376,2025-06-02T18:39:14.485578+0700
3,HTTP GET Request Detected,1000002,http,2149,639,192.168.100.4,80,flow,5,778658468238219,closed,192.168.100.4,1550,GET,200,/?id=343&q=services,Mozilla/5.0 (Windows NT 10.0; Win64; x64),5,6,TCP,192.168.100.5,44482,2025-06-02T18:40:25.213255+0700
,,,http,2149,625,192.168.100.4,80,flow,5,839578278323563,closed,,,,,,,5,6,TCP,192.168.100.5,53074,2025-06-02T18:39:18.487763+0700
,,,http,2149,636,192.168.100.4,80,flow,5,1583689940846430,closed,,,,,,,5,6,TCP,192.168.100.5,58068,2025-06-02T18:39:18.491365+0700
,,,http,2149,629,192.168.100.4,80,flow,4,2008651196783801,closed,,,,,,,5,6,TCP,192.168.100.5,53076,2025-06-02T18:39:23.161210+0700
3,HTTP GET Request Detected,1000002,http,2149,638,192.168.100.4,80,flow,5,793531940286304,closed,192.168.100.4,1550,GET,200,/?id=399&q=contact,Mozilla/5.0 (Windows NT 10.0; Win64; x64),5,6,TCP,192.168.100.5,46398,2025-06-02T18:40:51.251918+0700
,,,http,2149,636,192.168.100.4,80,flow,5,1446109261561753,closed,,,,,,,5,6,TCP,192.168.100.5,53532,2025-06-02T18:39:24.494579+0700
