alert_action,alert_category,alert_severity,alert_signature,alert_signature_id,app_proto,bytes_toclient,bytes_toserver,dest_ip,dest_port,event_type,flow_age,flow_alerted,flow_end,flow_id,flow_reason,flow_start,flow_state,flowbits,http_content_type,http_host,http_length,http_method,http_status,http_url,http_user_agent,in_iface,pkts_toclient,pkts_toserver,proto,src_ip,src_port,tcp_ack,tcp_fin,tcp_flags,tcp_flags_tc,tcp_flags_ts,tcp_psh,tcp_state,tcp_syn,timestamp
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,77446,1647,192.168.100.4,80,flow,1,True,2025-06-28T07:32:25.064045+0700,1751696910365464,timeout,2025-06-28T07:32:24.832280+0700,closed,slowread_detected,text/html,192.168.100.4,73166,GET,200,/2025/06/05/what-is-a-slow-read-attack-understanding-this-sneaky-cyber-threat/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,58,22,TCP,192.168.100.6,60498,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:33:54.279065+0700
,,,,,http,77350,1317,192.168.100.4,80,flow,0,True,2025-06-28T07:27:41.617496+0700,1277796642805479,timeout,2025-06-28T07:27:41.415463+0700,closed,slowread_detected,,,,,,,,enp0s3,57,17,TCP,192.168.100.6,39084,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:32:26.194272+0700
,,,,,http,74969,1114,192.168.100.4,80,flow,0,True,2025-06-28T07:29:51.696842+0700,11470641290716,timeout,2025-06-28T07:29:51.646620+0700,closed,slowread_detected,,,,,,,,enp0s3,53,14,TCP,192.168.100.6,60302,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:32:26.194331+0700
,,,,,http,75132,1444,192.168.100.4,80,flow,0,True,2025-06-28T07:28:44.998633+0700,1700359151837151,timeout,2025-06-28T07:28:44.942047+0700,closed,slowread_detected,,,,,,,,enp0s3,55,19,TCP,192.168.100.6,33570,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:32:26.194346+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,77249,1119,192.168.100.4,80,flow,0,True,2025-06-28T07:32:27.884195+0700,2101234234005795,timeout,2025-06-28T07:32:27.825635+0700,closed,slowread_detected,text/html,192.168.100.4,73167,GET,200,/2025/06/05/what-is-a-slow-read-attack-understanding-this-sneaky-cyber-threat/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,55,14,TCP,192.168.100.6,60502,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:35:50.464678+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,76745,999,192.168.100.4,80,flow,0,True,2025-06-28T07:32:29.898716+0700,1530529717262931,timeout,2025-06-28T07:32:29.825939+0700,closed,slowread_detected,text/html,192.168.100.4,72663,GET,200,/2025/06/05/hello-world/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,55,13,TCP,192.168.100.6,60506,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:35:37.110559+0700
,,,,,http,140,405,192.168.100.4,80,flow,0,True,2025-06-28T07:27:42.241316+0700,1843117418254213,timeout,2025-06-28T07:27:42.036741+0700,closed,slowread_detected,,192.168.100.4,0,GET,,/2025/06/05/hello-world/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,2,4,TCP,192.168.100.6,39144,True,,1e,12,1e,True,closed,True,2025-06-28T07:32:30.204591+0700
,,,,,http,140,405,192.168.100.4,80,flow,0,True,2025-06-28T07:27:42.236995+0700,577046958716281,timeout,2025-06-28T07:27:42.079225+0700,closed,slowread_detected,,192.168.100.4,0,GET,,/2025/06/05/hello-world/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,2,4,TCP,192.168.100.6,39148,True,,1e,12,1e,True,closed,True,2025-06-28T07:32:31.613752+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,76811,1065,192.168.100.4,80,flow,0,True,2025-06-28T07:32:31.919808+0700,1345038669816332,timeout,2025-06-28T07:32:31.827916+0700,closed,slowread_detected,text/html,192.168.100.4,72663,GET,200,/2025/06/05/hello-world/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,56,14,TCP,192.168.100.6,49614,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:34:20.331897+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74653,1182,192.168.100.4,80,flow,1,True,2025-06-28T07:32:32.033618+0700,2017598336090724,timeout,2025-06-28T07:32:31.934500+0700,closed,slowread_detected,text/html,192.168.100.4,70569,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,55,15,TCP,192.168.100.6,49622,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:37:27.294105+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,139732,2089,192.168.100.4,80,flow,11,True,2025-06-28T07:32:45.126483+0700,169164671197833,timeout,2025-06-28T07:32:34.893577+0700,closed,slowread_detected,text/html,192.168.100.4,70570,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,103,27,TCP,192.168.100.6,49638,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:36:55.252663+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,75204,1378,192.168.100.4,80,flow,1,True,2025-06-28T07:32:35.083814+0700,1671688112720140,timeout,2025-06-28T07:32:34.936204+0700,closed,slowread_detected,text/html,192.168.100.4,71056,GET,200,/2025/06/05/how-to-detect-and-mitigate-slow-read-attacks-on-your-website/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,56,18,TCP,192.168.100.6,49644,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:35:37.110614+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74655,1116,192.168.100.4,80,flow,1,True,2025-06-28T07:32:35.202822+0700,375280151691469,timeout,2025-06-28T07:32:34.983245+0700,closed,slowread_detected,text/html,192.168.100.4,70571,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,55,14,TCP,192.168.100.6,49652,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:34:47.034264+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74594,1182,192.168.100.4,80,flow,0,True,2025-06-28T07:32:35.268667+0700,349173193053635,timeout,2025-06-28T07:32:35.071107+0700,closed,slowread_detected,text/html,192.168.100.4,70576,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,54,15,TCP,192.168.100.6,49660,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:34:02.317750+0700
,,,,,http,75265,1642,192.168.100.4,80,flow,1,True,2025-06-28T07:27:42.076836+0700,861390973552988,timeout,2025-06-28T07:27:41.772444+0700,closed,slowread_detected,,,,,,,,enp0s3,57,22,TCP,192.168.100.6,39116,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:32:35.538670+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,75067,1048,192.168.100.4,80,flow,0,True,2025-06-28T07:32:37.416829+0700,1483124016253062,timeout,2025-06-28T07:32:37.362630+0700,closed,slowread_detected,text/html,192.168.100.4,71051,GET,200,/2025/06/05/how-to-detect-and-mitigate-slow-read-attacks-on-your-website/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,54,13,TCP,192.168.100.6,49668,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:34:16.329888+0700
